battle_id,battle_name,battle_name_normalized,wikipedia_title,source_url,date_raw,start_date,end_date,year,century,date_parse_confidence,war_name,campaign_name,location_raw,location_normalized,latitude,longitude,present_day_country,result_raw,result_normalized,result_type,belligerent_1_raw,belligerent_2_raw,belligerent_3_raw,commander_side_a_raw,commander_side_b_raw,commander_side_c_raw,strength_side_a_raw,strength_side_b_raw,strength_side_c_raw,casualties_side_a_raw,casualties_side_b_raw,casualties_side_c_raw,strength_side_a_min,strength_side_a_max,strength_side_b_min,strength_side_b_max,casualties_side_a_min,casualties_side_a_max,casualties_side_b_min,casualties_side_b_max,page_type,page_type_confidence,classification_notes,acceptance_reason,battle_type,infobox_present,text_length,categories,list_page_origin,parent_list_page,discovery_root,source_family,extraction_confidence,notes,quarantine_reason,validation_status
battle_1615910,Battle of Johnsonville,Battle of Johnsonville,Battle of Johnsonville,https://en.wikipedia.org/wiki/Battle_of_Johnsonville,"November 4–5, 1864",1864-11-04,1864-04-05,1864,19,1.0,the American Civil War,,"Benton County / Humphreys County, near Johnsonville, Tennessee","Benton County / Humphreys County, near Johnsonville, Tennessee",36.0708,-87.9757,,Confederate victory,Victory,victory,USA United States (Union),CSA CSA (Confederacy),,Charles R. Thompson Edward M. King,Nathan Bedford Forrest,,"4,000 NPS Johnsonville 3 gunboats",,,150 captured,2 killed 9 wounded,,3,4000,,,150,150,2,9,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,8249,"1864 in Tennessee | All articles with unsourced statements | Articles with short description | Articles with unsourced statements from October 2022 | Battles of the American Civil War in Tennessee | Battles of the western theater of the American Civil War | Benton County, Tennessee | Confederate victories of the American Civil War | Conflicts in 1864 | Coordinates on Wikidata | Franklin–Nashville Campaign | Humphreys County, Tennessee | Nathan Bedford Forrest | November 1864 | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Source attribution | Wikipedia articles needing clarification from November 2018",List of American Civil War battles | List of battles 1801–1900,List of American Civil War battles | List of battles 1801–1900,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_14807802,Battle of Marion,Battle of Marion,Battle of Marion,https://en.wikipedia.org/wiki/Battle_of_Marion,"December 17–18, 1864",1864-12-17,1864-04-18,1864,19,1.0,the American Civil War,,"Marion, Virginia","Marion, Virginia",,,,Union victory,Victory,victory,USA United States (Union),CSA CSA (Confederacy),,George StonemanStephen G. Burbridge Alvan C. Gillem,John C. Breckinridge,,"5,500 (~3,100 engaged)","~1,000",,7618 killed 58 wounded unknown missing,unknown,,3100,5500,1000,1000,58,7618,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,raid,True,32964,"1864 in Virginia | Articles with short description | Battles of the American Civil War in Virginia | Battles of the western theater of the American Civil War | CS1 maint: bot: original URL status unknown | Commons category link from Wikidata | Conflicts in 1864 | Coordinates on Wikidata | December 1864 | Good articles | Pages using gadget WikiMiniAtlas | Raids of the American Civil War | Short description is different from Wikidata | Smyth County, Virginia | Stoneman's 1864 raid | Union victories of the American Civil War",List of American Civil War battles,List of American Civil War battles,Lists of battles,war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_490411,Battle of Nashville,Battle of Nashville,Battle of Nashville,https://en.wikipedia.org/wiki/Battle_of_Nashville,"December 15–16, 1864",1864-12-15,1864-04-16,1864,19,1.0,the American Civil War,,"Nashville, Tennessee, U.S.","Nashville, Tennessee, U.S.",36.0881,-86.8098,,Victory,Victory,victory,United States,CSA Confederate States,,George H. Thomas,John Bell Hood,,"55,000Eicher McPherson McPherson","22,000Jordan Pryor 1868–30,000Eicher McPherson McPherson",,"3,061 (387 killed &nbsp;2,558 wounded &nbsp;112 missing/captured)Eicher McPherson McPherson","~6,000 (1,500 killed/wounded &nbsp;4,500 missing/captured, several batteries captured by Union forces)Eicher McPherson McPherson",,55,55,22,1868,112,3061,1500,6000,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,43654,"1864 in Tennessee | Articles with short description | Battles of the American Civil War in Tennessee | Battles of the western theater of the American Civil War | CS1: long volume value | CS1: unfit URL | CS1 errors: ISBN date | CS1 maint: multiple names: authors list | Commons category link is on Wikidata | Conflicts in 1864 | Coordinates on Wikidata | Davidson County, Tennessee | December 1864 | Franklin–Nashville Campaign | John Bell Hood | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Source attribution | Union victories of the American Civil War | Use mdy dates from March 2016",List of American Civil War battles | List of battles (alphabetical) | List of battles 1801–1900 | List of costliest American Civil War land battles | List of orders of battle,List of American Civil War battles | List of battles (alphabetical) | List of battles 1801–1900 | List of costliest American Civil War land battles | List of orders of battle,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_4107571,Battle of New Hope Church,Battle of New Hope Church,Battle of New Hope Church,https://en.wikipedia.org/wiki/Battle_of_New_Hope_Church,"May 25–26, 1864",1864-05-25,1864-04-26,1864,19,1.0,the American Civil War,,"Paulding County, Georgia","Paulding County, Georgia",,,,Confederate victory,Victory,victory,Confederate States,United States (Union),,CSA Joseph E. Johnston John Bell Hood,United States William T. Sherman Joseph Hooker,,"4,000, 16 guns","16,000",,400,"1,665",,16,4000,16000,16000,400,400,1665,1665,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,16503,"1864 in Georgia (U.S. state) | All Wikipedia articles written in American English | Articles with short description | Atlanta campaign | Battles of the American Civil War in Georgia (U.S. state) | Battles of the western theater of the American Civil War | CS1 errors: ISBN date | Confederate victories of the American Civil War | Conflicts in 1864 | Coordinates on Wikidata | May 1864 | Pages using gadget WikiMiniAtlas | Paulding County, Georgia | Short description matches Wikidata | Use American English from January 2026 | Use mdy dates from January 2026",List of American Civil War battles | List of battles 1801–1900,List of American Civil War battles | List of battles 1801–1900,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_10588908,Battle of Old River Lake,Battle of Old River Lake,Battle of Old River Lake,https://en.wikipedia.org/wiki/Battle_of_Old_River_Lake,"June 5–6, 1864",1864-06-05,1864-04-06,1864,19,1.0,the American Civil War,,"Chicot County, Arkansas","Chicot County, Arkansas",,,,Slight Union victory,Victory,victory,United States,Confederate States,,USA Joseph Mower,CSA Colton Greene,,"6,000",800,,180,100,,6000,6000,800,800,180,180,100,100,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,2637,"1864 in Arkansas | Articles with short description | Battles of the American Civil War in Arkansas | Battles of the Trans-Mississippi theater of the American Civil War | Chicot County, Arkansas | Conflicts in 1864 | Coordinates on Wikidata | June 1864 | Pages using gadget WikiMiniAtlas | Short description matches Wikidata | Union victories of the American Civil War",List of American Civil War battles,List of American Civil War battles,Lists of battles,war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_41577874,Battle of Opatów (1864),Battle of Opatów,Battle of Opatów (1864),https://en.wikipedia.org/wiki/Battle_of_Opat%C3%B3w_%281864%29,21 February 1864,1864-02-21,1864-02-21,1864,19,1.0,,,,,,,,The battle ended in Russian victory; Russian losses were estimated at app.,Victory,victory,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,uprising,False,1729,1864 in Poland | All articles lacking in-text citations | All stub articles | Articles lacking in-text citations from September 2014 | Battles of the January Uprising | Conflicts in 1864 | Coordinates on Wikidata | February 1864 | Pages using gadget WikiMiniAtlas | Polish battle stubs | Russian battle stubs,List of battles 1801–1900,List of battles 1801–1900,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_3974713,Battle of Port Walthall Junction,Battle of Port Walthall Junction,Battle of Port Walthall Junction,https://en.wikipedia.org/wiki/Battle_of_Port_Walthall_Junction,"May 6–7, 1864",1864-05-06,1864-04-07,1864,19,1.0,the American Civil War,,"Chesterfield County, Virginia","Chesterfield County, Virginia",37.31166667,-77.40277778,,Union victory,Victory,victory,USA United States (Union),CSA CSA (Confederacy),,Benjamin Butler,Johnson Hagood,,"8,000","2,600",,,,550,8000,8000,2600,2600,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,1740,"1864 in Virginia | Articles with short description | Battles of the American Civil War in Virginia | Battles of the eastern theater of the American Civil War | Bermuda Hundred campaign | Chesterfield County, Virginia | Conflicts in 1864 | Coordinates on Wikidata | May 1864 | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Union victories of the American Civil War | Wikipedia articles incorporating text from the National Park Service",List of American Civil War battles | List of battles 1801–1900,List of American Civil War battles | List of battles 1801–1900,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_48961,Battle of Spotsylvania Court House,Battle of Spotsylvania Court House,Battle of Spotsylvania Court House,https://en.wikipedia.org/wiki/Battle_of_Spotsylvania_Court_House,"May 9–21, 1864",1864-05-09,1864-04-21,1864,19,1.0,the American Civil War,,"Spotsylvania County, Virginia","Spotsylvania County, Virginia",38.2242,-77.5981,,Inconclusive,Unknown,unknown,USA United States,CSA Confederate States,,USA Ulysses S. Grant USA George Meade,border|25px Robert E. Lee,,"108,000–115,400","52,000–63,000",,"Total: 18,399 2,725 killed 13,416 wounded 2,258 captured or missingReturn of Casualties in the Union forces, Battle of Spotsylvania Court-House, May 8–21, 1864 (Recapitulation)U.S. War Dept., Official Records, Vol. 37/1","Total: 12,687 1,515 killed 5,414 wounded 5,758 captured or missing",,108000,115400,52000,63000,1,18399,1515,12687,battle_article,0.83,battle-like title | battle categories,battle-like title | battle categories | fallback wikitext extraction,land_battle,True,47720,1864 in Virginia | All Wikipedia articles written in American English | Articles with short description | Battles commanded by Ulysses S. Grant | Battles of the American Civil War in Virginia | Battles of the eastern theater of the American Civil War | CS1: long volume value | CS1 errors: ISBN date | Commons category link is on Wikidata | Coordinates on Wikidata | Fredericksburg and Spotsylvania National Military Park | Inconclusive battles of the American Civil War | May 1864 | Overland Campaign | Pages using gadget WikiMiniAtlas | Short description matches Wikidata | Source attribution | Use American English from January 2026 | Use mdy dates from November 2013 | Webarchive template wayback links,List of American Civil War battles | List of battles (alphabetical) | List of battles 1801–1900 | List of battles by casualties | List of conflicts in North America | List of costliest American Civil War land battles | List of orders of battle,List of American Civil War battles | List of battles (alphabetical) | List of battles 1801–1900 | List of battles by casualties | List of conflicts in North America | List of costliest American Civil War land battles | List of orders of battle,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_1661095,Battle of Totopotomoy Creek,Battle of Totopotomoy Creek,Battle of Totopotomoy Creek,https://en.wikipedia.org/wiki/Battle_of_Totopotomoy_Creek,"May 28–30, 1864",1864-05-28,1864-04-30,1864,19,1.0,the American Civil War,,"Hanover County, Virginia","Hanover County, Virginia",37.634,-77.2987,,Inconclusive,Unknown,unknown,United States (Union),CSA (Confederacy),,USA Ulysses S. Grant USA George G. Meade,border|25px Robert E. Lee border|25px Jubal A. Early,,,,,"731 total (679 killed and wounded, 52 captured)","1,593 total (263 killed, 961 wounded, 369 missing/captured)",,,,,,52,731,263,1593,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,13884,"1864 in Virginia | Articles with short description | Battles commanded by Ulysses S. Grant | Battles of the American Civil War in Virginia | Battles of the eastern theater of the American Civil War | Conflicts in 1864 | Coordinates on Wikidata | Hanover County, Virginia, in the American Civil War | Inconclusive battles of the American Civil War | May 1864 | Overland Campaign | Pages including recorded pronunciations | Pages using gadget WikiMiniAtlas | Pages using the Phonos extension | Short description is different from Wikidata | Webarchive template wayback links",List of American Civil War battles | List of battles 1801–1900,List of American Civil War battles | List of battles 1801–1900,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_3792659,Battle of Tupelo,Battle of Tupelo,Battle of Tupelo,https://en.wikipedia.org/wiki/Battle_of_Tupelo,"July 14–15, 1864",1864-07-14,1864-04-15,1864,19,1.0,the American Civil War,,"Near Tupelo, Mississippi","Near Tupelo, Mississippi",,,,Union victory,Victory,victory,United States (Union),Confederate States,,USA Andrew J. Smith,CSA Stephen D. Lee Nathan B. Forrest,,"13,000 infantry 3,000 cavalry 24 guns","2,100 infantry 7,000 cavalry 20 guns",,69 dead and 533 wounded or missing,"215 dead and 1,125 wounded or missing",,24,13000,20,7000,69,533,215,1125,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,7192,"1864 in Mississippi | All Wikipedia articles written in American English | All articles with style issues | Articles with short description | Atlanta campaign | Battles of Forrest's Defense of Mississippi of the American Civil War | Battles of the western theater of the American Civil War | Commons category link from Wikidata | Conflicts in 1864 | Coordinates on Wikidata | History of Lee County, Mississippi | July 1864 | Pages using gadget WikiMiniAtlas | Short description matches Wikidata | Tupelo National Battlefield | Union victories of the American Civil War | Use American English from March 2017 | Use mdy dates from March 2017 | Wikipedia articles with style issues from June 2024",List of American Civil War battles | List of battles 1801–1900,List of American Civil War battles | List of battles 1801–1900,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_48835,Battle of the Wilderness,Battle of the Wilderness,Battle of the Wilderness,https://en.wikipedia.org/wiki/Battle_of_the_Wilderness,"May 5–7, 1864",1864-05-05,1864-04-07,1864,19,1.0,the American Civil War,,"Spotsylvania County and Orange County, Virginia","Spotsylvania County and Orange County, Virginia",38.3175,-77.75638889,,Inconclusive,Unknown,unknown,USA United States (Union),CSA Confederate States,,USA Ulysses S. Grant * USA George G. Meade * USA Winfield S. Hancock * USA Gouverneur K. Warren * USA John Sedgwick * USA Philip Sheridan * USA Ambrose E. Burnside,CSA Robert E. Lee * CSA James Longstreet * CSA Richard S. Ewell * CSA A. P. Hill * CSA J. E. B. Stuart,,"118,700","66,140",,"17,6662,246 killed 12,037 wounded 3,383 captured/missing","11,0331,477 killed 7,866 wounded 1,690 captured/missing",,118700,118700,66140,66140,3383,176662246,1690,110331477,battle_article,0.83,battle-like title | battle categories,battle-like title | battle categories | fallback wikitext extraction,land_battle,True,60050,1864 in Virginia | Articles with short description | Battles commanded by Ulysses S. Grant | Battles of the American Civil War in Virginia | Battles of the eastern theater of the American Civil War | CS1 errors: ISBN date | Commons category link is on Wikidata | Coordinates on Wikidata | Fredericksburg and Spotsylvania National Military Park | Good articles | Inconclusive battles of the American Civil War | May 1864 | Overland Campaign | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Use mdy dates from November 2013,List of American Civil War battles | List of battles (alphabetical) | List of battles 1801–1900 | List of battles by casualties | List of battles with most United States military fatalities | List of conflicts in North America | List of costliest American Civil War land battles | List of orders of battle,List of American Civil War battles | List of battles (alphabetical) | List of battles 1801–1900 | List of battles by casualties | List of battles with most United States military fatalities | List of conflicts in North America | List of costliest American Civil War land battles | List of orders of battle,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_8194181,First Battle of Deep Bottom,First Battle of Deep Bottom,First Battle of Deep Bottom,https://en.wikipedia.org/wiki/First_Battle_of_Deep_Bottom,"July 27–29, 1864",1864-07-27,1864-04-29,1864,19,1.0,the American Civil War,,"Henrico County, Virginia","Henrico County, Virginia",,,,Strategic Union Victory,Victory,victory,USA United States (Union),CSA CSA (Confederacy),,Winfield S. Hancock Philip H. Sheridan,Richard S. Ewell Richard H. Anderson,,,,,"488 (62 killed, 340 wounded, 86 missing/captured).Bonekemper presents casualty figures from a wide variety of sources and provides his best estimate.Bonekemper 2004 Salmon estimates 488 Union, 650 Confederate.Salmon 2001 Horn estimates 488 Union, 700 Confederate.Horn 1999 Kennedy estimates 1,000 total.Kennedy 1998","679 (80 killed, 391 wounded, 208 missing/captured)",,,,,,62,2004,80,679,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,7663,"1864 in Virginia | Articles with short description | Battles of the American Civil War in Virginia | Battles of the eastern theater of the American Civil War | Confederate victories of the American Civil War | Conflicts in 1864 | Coordinates on Wikidata | Henrico County, Virginia, in the American Civil War | July 1864 | Pages using gadget WikiMiniAtlas | Petersburg Campaign | Short description matches Wikidata",List of American Civil War battles | List of orders of battle,List of American Civil War battles | List of orders of battle,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_1461045,First Battle of Fort Fisher,First Battle of Fort Fisher,First Battle of Fort Fisher,https://en.wikipedia.org/wiki/First_Battle_of_Fort_Fisher,"December 24–27, 1864",1864-12-24,1864-04-27,1864,19,1.0,the American Civil War,,"New Hanover County, North Carolina","New Hanover County, North Carolina",33.9715,-77.918,,Confederate victory,Victory,victory,United States United States,Confederate States of America,,United States Benjamin Butler United States Navy David D. Porter,Confederate States of America William H.C. Whiting Confederate States of America William Lamb,,,,,,,320,,,,,,,,,battle_article,0.83,battle-like title | battle categories | campaign signals | war/conflict categories,battle-like title | battle categories | campaign signals | war/conflict categories | fallback wikitext extraction,siege,True,14858,"1864 in North Carolina | All Wikipedia articles written in American English | All articles with bare URLs for citations | Articles with PDF format bare URLs for citations | Articles with bare URLs for citations from June 2025 | Articles with short description | Attacks on military installations in the United States | Battles of the American Civil War in North Carolina | Battles of the eastern theater of the American Civil War | Confederate victories of the American Civil War | Conflicts in 1864 | Coordinates on Wikidata | December 1864 | Naval battles of the American Civil War | Naval bombing operations and battles | New Hanover County, North Carolina | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Sieges of the American Civil War | Use American English from February 2026 | Wilmington campaigns",List of American Civil War battles | List of battles 1801–1900,List of American Civil War battles | List of battles 1801–1900,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_2420796,La Grange expedition,La Grange expedition,La Grange expedition,https://en.wikipedia.org/wiki/La_Grange_expedition,1864 The,1864-04-01,1864-04-01,1864,19,1.0,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,campaign_article,0.5,battle-like title | campaign signals,battle-like title | campaign signals | fallback wikitext extraction,campaign_like_engagement,False,9214,1865 in Australia | 19th century in Western Australia | All Wikipedia articles written in Australian English | All articles needing additional references | Articles needing additional references from November 2017 | Articles with short description | Exploration of Western Australia | History of Indigenous Australians | Kimberley (Western Australia) | Short description is different from Wikidata | Use Australian English from June 2011 | Use dmy dates from October 2020,List of conflicts in Australia,List of conflicts in Australia,Lists of battles,war_conflict_based,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_146319,Law of war,Law of war,Law of war,https://en.wikipedia.org/wiki/Law_of_war,in 1864,1864-04-01,1864-04-01,1864,19,1.0,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.5,war/conflict title,war/conflict title | fallback wikitext extraction,war_conflict,False,30492,All articles with unsourced statements | Articles with short description | Articles with unsourced statements from April 2013 | Articles with unsourced statements from January 2022 | Articles with unsourced statements from June 2023 | CS1 maint: deprecated archival service | CS1 maint: url-status | CS1 maint: work parameter with ISBN | International humanitarian law | International law | Law of war | Pages displaying short descriptions of redirect targets via Module:Annotated link | Short description is different from Wikidata | Source attribution | Webarchive template wayback links,List of non-international armed conflicts | List of sieges | List of wars by death toll | Outline of war,List of non-international armed conflicts | List of sieges | List of wars by death toll | Outline of war,Lists of battles,battle_type_based | war_conflict_based,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_25762480,Pasoemah Expedition,Pasoemah Expedition,Pasoemah Expedition,https://en.wikipedia.org/wiki/Pasoemah_Expedition,from 1864,1864-04-01,1864-04-01,1864,19,1.0,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,campaign_article,0.5,battle-like title | campaign signals,battle-like title | campaign signals | fallback wikitext extraction,campaign_like_engagement,False,714,All articles lacking in-text citations | Articles lacking in-text citations from September 2014 | Dutch conquest of Indonesia | History of South Sumatra | Punitive expeditions of the Netherlands,List of conflicts in Asia,List of conflicts in Asia,Lists of battles,war_conflict_based,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_5956598,Second Battle of Deep Bottom,Second Battle of Deep Bottom,Second Battle of Deep Bottom,https://en.wikipedia.org/wiki/Second_Battle_of_Deep_Bottom,"August 14–20, 1864",1864-08-14,1864-04-20,1864,19,1.0,the American Civil War,,"Henrico County, Virginia","Henrico County, Virginia",,,,Strategic Union Victory,Victory,victory,USA United States (Union),CSA CSA (Confederacy),,Ulysses S. Grant Winfield S. Hancock,Robert E. Lee Charles W. Field,,"28,000","8,500–20,000",,"2,899 total 327 killed 1,851 wounded 721 missing/captured","1,500 200 killed 900 wounded 400 missing/captured",,28000,28000,8500,20000,327,2899,200,1500,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,13350,"1864 in Virginia | Articles with short description | August 1864 | Battles of the American Civil War in Virginia | Battles of the eastern theater of the American Civil War | Confederate victories of the American Civil War | Conflicts in 1864 | Coordinates on Wikidata | Henrico County, Virginia, in the American Civil War | Pages using gadget WikiMiniAtlas | Petersburg Campaign | Short description is different from Wikidata | Webarchive template wayback links | Winfield Scott Hancock",List of American Civil War battles | List of orders of battle,List of American Civil War battles | List of orders of battle,Lists of battles,list_misc | war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_17249521,Second Battle of Saltville,Second Battle of Saltville,Second Battle of Saltville,https://en.wikipedia.org/wiki/Second_Battle_of_Saltville,"December 20–21, 1864",1864-12-20,1864-04-21,1864,19,1.0,American Civil War,,"Saltville, Virginia","Saltville, Virginia",,,,Union victory,Victory,victory,USA United States (Union),CSA CSA (Confederacy),,George Stoneman,John C. Breckinridge,,"4,500","2,800",,Unknown,Unknown,,4500,4500,2800,2800,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,raid,True,2623,"1864 in Virginia | All articles lacking in-text citations | Articles lacking in-text citations from September 2024 | Articles with short description | Battles of the American Civil War in Virginia | Battles of the western theater of the American Civil War | CS1 maint: bot: original URL status unknown | Conflicts in 1864 | Coordinates on Wikidata | December 1864 | History of salt | Military history of African Americans in the American Civil War | Pages using gadget WikiMiniAtlas | Short description matches Wikidata | Smyth County, Virginia | Stoneman's 1864 raid | Union victories of the American Civil War",,,,,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_1615917,Third Battle of Murfreesboro,Third Battle of Murfreesboro,Third Battle of Murfreesboro,https://en.wikipedia.org/wiki/Third_Battle_of_Murfreesboro,"December 5–7, 1864",1864-12-05,1864-04-07,1864,19,1.0,the American Civil War,,"Murfreesboro, Tennessee","Murfreesboro, Tennessee",35.8689,-86.4593,,Union victory,Victory,victory,United States (Union),Confederate States,,USA Lovell H. Rousseau USA Robert H. Milroy,20px Nathan B. Forrest,,"8,000","7,000",,225,197,,8000,8000,7000,7000,225,225,197,197,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,6172,"1864 in Tennessee | All articles lacking in-text citations | Articles lacking in-text citations from May 2012 | Articles with short description | Battles of the American Civil War in Tennessee | Battles of the western theater of the American Civil War | Conflicts in 1864 | Coordinates on Wikidata | December 1864 | Franklin–Nashville Campaign | Pages using gadget WikiMiniAtlas | Rutherford County, Tennessee | Short description is different from Wikidata | Union victories of the American Civil War | Webarchive template wayback links",List of American Civil War battles,List of American Civil War battles,Lists of battles,war_conflict_based,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
battle_481130,Union (American Civil War),Union,Union (American Civil War),https://en.wikipedia.org/wiki/Union_%28American_Civil_War%29,In 1864,1864-04-01,1864-04-01,1864,19,1.0,,,,,,,,Most Northern states had Republican governors who supported the war effort and suppressed anti-war subversion.,Unknown,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.5,war/conflict title,war/conflict title | fallback wikitext extraction,war_conflict,True,67606,All Wikipedia articles written in American English | All articles with unsourced statements | Articles with short description | Articles with unsourced statements from January 2026 | Articles with unsourced statements from September 2024 | Articles with unsourced statements from September 2025 | CS1 errors: ISBN date | CS1 maint: archived copy as title | CS1 maint: bot: original URL status unknown | History of the Midwestern United States | History of the Northeastern United States | Pages using gadget WikiMiniAtlas | Pages using infobox country or infobox former country with the flag caption or type parameters | Politics of the American Civil War | Short description is different from Wikidata | Social history of the American Civil War | Social history of the United States | Union (American Civil War) | Unionism | Use American English from February 2022 | Use mdy dates from February 2022 | Webarchive template wayback links,List of battles 1801–1900 | List of naval battles,List of battles 1801–1900 | List of naval battles,Lists of battles,battle_type_based | list_misc,0.6,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_3769254,West Virginia in the American Civil War,West Virginia in the American Civil War,West Virginia in the American Civil War,https://en.wikipedia.org/wiki/West_Virginia_in_the_American_Civil_War,"December 3, 1864",1864-12-03,1864-12-03,1864,19,1.0,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.5,war/conflict title,war/conflict title | fallback wikitext extraction,war_conflict,False,41320,All Wikipedia articles written in American English | All articles with unsourced statements | American Civil War by state | Articles with short description | Articles with unsourced statements from February 2024 | Articles with unsourced statements from May 2019 | Short description is different from Wikidata | Use American English from July 2018 | Use mdy dates from July 2018 | Webarchive template wayback links | West Virginia in the American Civil War,List of American Civil War battles,List of American Civil War battles,Lists of battles,war_conflict_based,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_43038435,Battle of Bone Pile Creek,Battle of Bone Pile Creek,Battle of Bone Pile Creek,https://en.wikipedia.org/wiki/Battle_of_Bone_Pile_Creek,"August 13–15, 1865",1865-08-13,1865-04-15,1865,19,1.0,"the Powder River Expedition, Sioux Wars",,"present-day Campbell County, Wyoming","present-day Campbell County, Wyoming",,,,Inconclusive,Unknown,unknown,United States United States,Cheyenne Oglala Lakota Sioux,,United States James A. Sawyers United States George Williford,Red Cloud Dull Knife,,"143 Soldiers, 53 Civilians",~500 Warriors,,3 killed,"2 killed, 3 wounded",,53,143,500,500,3,3,2,3,battle_article,0.33,battle-like title | war/conflict categories,battle-like title | war/conflict categories | fallback wikitext extraction,land_battle,True,2292,Indian wars of the American Old West,List of battles 1801–1900,List of battles 1801–1900,Lists of battles,list_misc,1.0,validated_rebuild_mode=wikitext,start_after_end,quarantined
